Price,Days On Market,County,City,# Full Baths,# Half Baths,# of Bedrooms,Approx Number of Acres,Approx Total Sq Ft,Approximate Year Built,Basement,Garage Capacity,Carport Capacity
$550,0,Christian,Hopkinsville,0,0,0,0.52,1156,,No,0,0
$550,0,Christian,Hopkinsville,0,0,3,0.63,1224,,No,2,0
"$1,000",0,McCracken,Paducah,1,0,2,0.31,612,1953,No,0,0
"$1,200",305,McCracken,Paducah,1,0,2,0.18,1260,1897,No,0,0
"$1,650",0,Christian,Hopkinsville,1,0,2,0.08,1199,,No,0,0
"$2,000",48,McCracken,Paducah,1,0,2,0.1,1023,1960,No,0,0
"$2,750",0,Graves,Mayfield,1,0,3,0.27,1567,,No,0,0
"$2,750",0,Christian,Hopkinsville,1,0,2,0.1,847,,No,0,0
"$3,000",34,McCracken,Paducah,0,0,2,0.17,1196,1937,No,0,0
"$3,000",863,McCracken,Paducah,1,0,2,0,936,1932,No,0,0
"$3,190",0,Christian,Hopkinsville,1,0,3,0.15,1360,,No,0,0
"$4,000",47,McCracken,Paducah,1,0,2,0,816,1951,No,0,2
"$4,000",83,Caldwell,Princeton,1,0,3,0.14,864,,No,0,0
"$4,400",39,Christian,Hopkinsville,1,0,2,0.25,864,,No,0,0
"$4,400",39,Christian,Hopkinsville,1,0,3,0.25,776,,No,0,0
"$4,800",98,McCracken,Paducah,2,0,2,0.16,1220,1907,No,0,0
"$4,975",52,Christian,Hopkinsville,1,0,2,0.25,1150,,No,0,0
"$5,250",8,Christian,Hopkinsville,1,0,2,0.24,896,,No,0,0
"$5,280",0,Lyon,Kuttawa,0,0,0,1,1045,,No,0,0
"$5,500",941,McCracken,Paducah,1,0,2,0,1040,,No,0,0
"$5,500",23,McCracken,Paducah,1,0,3,0.16,1444,1915,Yes,2,0
"$5,500",0,Christian,Hopkinsville,1,0,3,0.25,875,,No,1,0
"$5,800",52,Christian,Hopkinsville,1,0,3,0.25,2460,,No,0,0
"$6,000",20,McCracken,Paducah,1,0,2,0,864,,No,1,0
"$6,000",0,Graves,Mayfield,1,0,1,0.5,425,1950,No,0,0
"$6,000",33,McCracken,Paducah,1,0,3,0.11,960,1967,No,0,0
"$6,000",33,McCracken,Paducah,1,0,2,0.13,720,1939,No,0,0
"$6,325",0,Graves,Hopkinsville,0,0,0,0.29,1475,,No,0,0
"$6,400",221,Ballard,Wickliffe,1,0,2,0.49,1366,1969,No,0,0
"$6,600",0,Graves,Mayfield,1,0,2,0.13,948,,No,0,0
"$7,000",22,Graves,Mayfield,1,0,2,0,975,,No,0,1
"$7,000",149,McCracken,Paducah,1,0,2,0.3,1110,1940,No,0,0
"$7,150",0,Christian,Hopkinsville,0,0,0,0.16,1856,,No,0,0
"$7,500",104,Fulton,Fulton,1,0,2,0,950,,Yes,0,0
"$7,500",170,McCracken,Paducah,1,0,2,0,1170,1924,No,0,0
"$7,500",48,McCracken,Paducah,1,0,1,0.2,1134,1940,No,0,0
"$8,000",60,Graves,Mayfield,1,0,1,0.5,425,1950,No,0,0
"$8,000",483,Fulton,Hickman,1,0,2,0.2,1231,1910,No,0,1
"$8,000",39,Caldwell,Princeton,0,0,0,2.32,939,,No,0,0
"$8,000",284,McCracken,Paducah,3,0,3,0.12,2042,1897,No,0,0
"$8,200",113,Hickman,Fulton,2,0,4,0.16,2038,,No,0,0
"$8,250",64,McCracken,Paducah,1,0,2,0.15,1232,,Yes,0,0
"$8,500",21,Calloway,Murray,1,0,2,0.33,872,,No,0,0
"$8,500",58,Caldwell,Princeton,2,0,3,0.17,1781,,No,0,0
"$8,500",0,Marshall,Benton,1,0,2,0.3,906,1979,No,0,2
"$8,500",456,Trigg,Cadiz,2,0,2,0.2,1510,,No,0,0
"$8,500",0,Graves,Mayfield,0,0,0,0.16,1408,,No,0,0
"$8,900",84,Ballard,Kevil,1,0,3,0.2,1300,1979,No,0,2
"$9,000",1222,Hickman,Clinton,1,0,2,0.33,1097,,No,2,0
"$9,000",20,Marshall,Benton,1,0,2,0.2,1248,1924,No,0,1
"$9,000",59,McCracken,Paducah,1,0,3,1,1462,,Yes,0,0
"$9,000",58,McCracken,Paducah,1,0,2,0.09,1000,,No,0,0
"$9,000",45,Christian,Hopkinsville,1,0,2,0.5,900,,No,0,0
"$9,500",339,Livingston,Burna,1,0,2,0.75,1092,,No,1,0
"$9,630",0,Christian,Hopkinsville,1,0,3,0.2,1008,,No,0,0
"$9,900",0,Graves,Mayfield,1,0,2,0.25,825,,No,0,0
"$9,900",21,Marshall,Benton,1,0,2,0.45,1100,1968,No,0,0
"$10,000",119,McCracken,Paducah,1,0,1,0,992,1897,No,0,0
"$10,000",71,Hopkins,Dawson Springs,1,0,2,0.34,544,,No,0,0
"$10,000",46,Christian,Hopkinsville,1,0,2,0.25,1192,,No,0,0
"$10,000",276,Carlisle,Arlington,2,0,3,0.5,1325,,Yes,0,2
"$10,000",27,Graves,Mayfield,1,0,2,0.61,676,,Yes,0,0
"$10,000",58,McCracken,Paducah,1,0,2,0.17,952,1925,No,2,0
"$10,000",0,McCracken,Paducah,1,0,2,0.18,1224,,No,2,0
"$10,000",105,McCracken,Paducah,2,0,3,0.15,1971,1877,Yes,2,0
"$10,000",54,Calloway,Murray,1,0,2,0.87,600,,No,0,0
"$10,000",658,McCracken,Paducah,0,4,0,0,7500,,Yes,0,0
"$10,000",120,McCracken,Paducah,1,0,2,0.58,924,,No,0,0
"$10,000",58,Hickman,Wingo,1,0,2,1,975,1970,No,0,1
"$10,000",0,McCracken,Paducah,1,0,3,0.15,1264,1913,No,0,0
"$10,000",254,McCracken,Paducah,1,0,2,0,1185,1904,No,0,0
"$10,000",283,Graves,Water Valley,0,0,2,0.3,1200,,No,0,0
"$10,000",384,Marshall,Calvert City,1,0,3,0.39,1650,,No,0,0
"$10,000",34,Crittenden,Marion,1,0,2,0.3,775,,No,0,0
"$10,000",37,McCracken,Paducah,1,0,3,1.85,1460,1951,No,0,0
"$10,000",88,Graves,Water Valley,2,0,2,1.1,1786,1950,No,0,0
"$10,000",217,Marshall,Hardin,1,0,1,0.5,760,0,No,0,1
"$10,000",61,McCracken,Paducah,1,0,2,0.42,994,1887,No,0,0
"$10,175",83,Graves,Mayfield,1,0,3,0.29,1286,,No,0,1
"$10,450",0,Graves,Mayfield,1,0,2,0.26,828,,No,0,0
"$10,450",0,Graves,Mayfield,1,0,3,0.2,1396,,No,0,0
"$10,500",0,Marshall,Symsonia,2,0,3,4,1200,,No,2,0
"$11,000",15,Graves,Mayfield,1,0,2,0.5,1144,,No,0,0
"$11,000",84,McCracken,Paducah,1,0,3,0.11,1392,1924,No,0,0
"$11,000",0,Graves,Mayfield,1,0,2,1,1000,,No,1,0
"$11,000",92,McCracken,Paducah,1,0,2,0.23,1400,,No,0,0
"$11,000",23,McCracken,Paducah,2,0,2,0.17,1050,1927,No,0,1
"$11,000",42,Graves,Mayfield,1,0,2,0.21,1218,,No,0,0
"$11,000",0,Calloway,Hazel,1,1,3,1.84,1166,,No,0,0
"$11,000",156,Caldwell,Princeton,1,0,2,0.27,3907,,Yes,0,0
"$11,200",23,McCracken,Paducah,1,0,3,0.17,1056,1976,No,0,1
"$11,400",0,Graves,Mayfield,1,0,2,0.2,1185,,No,0,1
"$12,000",11,McCracken,Paducah,1,0,2,0.12,1036,1949,No,1,1
"$12,000",30,Crittenden,Marion,1,0,2,0.17,996,,No,0,0
"$12,000",35,McCracken,Paducah,1,0,2,0.12,1056,1922,No,1,0
"$12,000",15,Graves,Mayfield,1,0,3,0.17,1408,,No,0,0
"$12,000",360,Fulton,Hickman,2,0,3,0.53,2336,,No,0,0
"$12,000",48,Carlisle,Bardwell,0,0,4,0.39,2259,,No,0,0
"$12,000",242,McCracken,Paducah,1,0,3,0.4,1022,,No,1,0
"$12,000",366,McCracken,Paducah,1,0,2,0,960,1975,No,0,0
"$12,000",78,McCracken,Paducah,1,0,3,0,1164,1949,No,1,0
"$12,000",105,McCracken,Melber,1,0,2,0.45,1728,1911,No,2,0
"$12,100",0,McCracken,Paducah,2,0,3,0,1302,1924,No,0,1
"$12,500",190,Graves,Mayfield,1,1,3,1.57,988,,No,0,0
"$12,500",16,Graves,Mayfield,1,0,2,0.12,1292,,No,0,0
"$12,500",29,Crittenden,Marion,1,0,2,0.55,888,,No,0,0
"$12,500",0,McCracken,Paducah,1,0,2,0.5,1000,1950,No,0,0
"$12,500",331,Ballard,Wickliffe,1,0,3,0.25,1249,,No,0,0
"$12,500",60,Caldwell,Fredonia,2,0,2,2.6,1768,1930,No,0,0
"$12,500",206,Marshall,Benton,1,0,2,0.25,1229,,No,0,0
"$12,500",131,Ballard,Wickliffe,1,0,2,0.16,1200,,No,0,0
"$12,500",27,McCracken,Paducah,1,0,1,0.07,655,1900,No,0,0
"$12,600",28,Graves,Mayfield,2,0,3,0.21,1697,,No,0,0
